"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2016","217.00","217.00","217.00","217.00","0.06K","-4.48%"
"08/01/2016","227.18","227.18","227.18","227.18","0.68K","3.67%"
"07/01/2016","219.14","219.14","219.14","219.14","0.48K","-4.19%"
"06/01/2016","228.73","228.73","228.73","228.73","0.14K","-25.91%"
"05/01/2016","308.70","308.70","308.70","308.70","0.06K","12.59%"
"04/01/2016","274.19","274.19","274.19","274.19","0.20K","26.83%"
"03/01/2016","216.19","216.19","216.19","216.19","0.45K","22.11%"
"02/01/2016","177.05","177.05","177.05","177.05","0.01K","-4.68%"
"01/01/2016","185.75","185.75","185.75","185.75","","-1.69%"
"12/01/2015","188.95","188.95","188.95","188.95","0.03K","-3.36%"
